time,r11,r12,r13,r21,r22,r23,r31,r32,r33
2644936,-1.85337e-05,-1,6.85219e-07,0.998743,-1.85447e-05,-0.0501337,0.0501337,-2.44806e-07,0.998743
2654987,-1.94136e-05,-1,5.74134e-07,0.999117,-1.94206e-05,-0.0420237,0.0420237,-2.42203e-07,0.999117
2665054,-9.29161e-06,-1,1.24298e-07,0.999422,-9.29047e-06,-0.0339963,0.0339963,-1.91654e-07,0.999422
2675109,-8.82525e-06,-1,9.48166e-08,0.999663,-8.82473e-06,-0.0259613,0.0259613,-1.34331e-07,0.999663
2685353,1.41224e-06,-1,-1.15075e-07,0.999836,1.41409e-06,-0.0180975,0.0180975,-8.94986e-08,0.999836
2695020,2.26379e-06,-1,-6.54769e-08,0.999947,2.26434e-06,-0.0102792,0.0102792,-4.22035e-08,0.999947
2705297,2.32402e-06,-1,-1.58975e-08,0.999997,2.32405e-06,-0.00246641,0.00246641,-1.01654e-08,0.999997
2715137,2.65953e-06,-1,3.31435e-08,0.999986,2.65966e-06,0.00527454,-0.00527454,1.91152e-08,0.999986
2724885,1.39406e-05,-1,2.12692e-07,0.999915,1.39422e-05,0.0130254,-0.0130254,3.10925e-08,0.999915
2735211,1.43699e-05,-1,3.37156e-07,0.999787,1.43738e-05,0.0206479,-0.0206479,4.03761e-08,0.999787
2744966,1.44747e-05,-1,4.60982e-07,0.999601,1.4482e-05,0.0282307,-0.0282307,5.21675e-08,0.999601
2754763,1.42791e-05,-1,5.85406e-07,0.999357,1.42909e-05,0.0358536,-0.0358536,7.30721e-08,0.999357
2765206,1.41182e-05,-1,7.08861e-07,0.999057,1.41357e-05,0.0434164,-0.0434164,9.52305e-08,0.999057
2775153,1.49393e-05,-1,8.3456e-07,0.998693,1.49624e-05,0.0511169,-0.0511169,6.98173e-08,0.998693
2784874,1.49562e-05,-1,9.59747e-07,0.99827,1.49868e-05,0.0587885,-0.0587885,7.88342e-08,0.99827
2794773,1.32227e-05,-1,1.08617e-06,0.997785,1.32656e-05,0.0665211,-0.0665211,2.04179e-07,0.997785
