time,fx,fy,fz,tx,ty,tz
430375,0.79693,-0.748268,9.55094,0.405042,-1.01937,-0.160859
431810,-0.805812,-0.774757,9.40468,0.408534,-1.11808,-0.159307
433242,-1.68079,-0.929327,9.18338,0.421312,-1.16907,-0.158366
434682,-1.80347,-0.552339,9.60926,0.39022,-1.17656,-0.158536
436120,-1.14731,-1.19537,9.33304,0.434337,-1.1644,-0.160491
437532,0.425155,-1.37303,9.36205,0.443137,-1.04526,-0.160514
438974,0.500994,-0.858364,9.56876,0.406591,-1.06148,-0.15841
440437,0.656284,-1.12021,9.18674,0.429977,-1.02948,-0.161193
441880,-0.693944,-0.716878,9.46549,0.405568,-1.11667,-0.158278
443315,-1.04163,-0.621369,9.42961,0.394883,-1.13512,-0.15737
444695,-1.02816,-1.05838,9.57544,0.43232,-1.1358,-0.158381
446160,-0.345719,-0.89238,9.4835,0.408474,-1.11718,-0.161089
447624,0.789957,-1.1602,9.37839,0.434185,-1.02775,-0.160427
448993,0.571153,-0.809426,9.38671,0.411022,-1.0632,-0.158417
450441,0.667593,-0.705652,9.34535,0.400199,-1.02127,-0.160723
451899,-0.784343,-1.01701,9.37549,0.42783,-1.13353,-0.158017
453337,-0.761829,-0.815802,9.67227,0.409999,-1.11309,-0.158352
454754,-0.838019,-0.999751,9.6643,0.4209,-1.14031,-0.157715
456163,0.064213,-1.2585,9.42611,0.439776,-1.08319,-0.161087
457589,0.786746,-0.888228,9.36669,0.415245,-1.03615,-0.159994
459004,0.723433,-0.789932,9.32134,0.404635,-1.04533,-0.158752
460467,0.232032,-0.994136,9.15297,0.42703,-1.04753,-0.160199
461921,-1.22358,-0.821157,9.29489,0.406136,-1.14839,-0.159564
463360,-1.85941,-0.967973,9.33532,0.423529,-1.16525,-0.159323
464802,-2.248,-0.895781,9.38804,0.41398,-1.20704,-0.15702
466207,-1.4841,-0.847221,9.31168,0.409057,-1.16722,-0.161043
467650,-0.502978,-1.10551,9.18249,0.434233,-1.09447,-0.157764
469030,-0.352293,-0.703274,9.36107,0.395105,-1.09885,-0.158043
470492,-0.472786,-1.19438,9.13804,0.433527,-1.07695,-0.160867
471930,-1.92067,-1.09047,9.10864,0.432466,-1.17878,-0.156188
473345,-2.36037,-0.431155,9.36316,0.388016,-1.18834,-0.157338
474790,-2.70118,-0.673804,9.23153,0.406488,-1.22585,-0.155879
476222,-1.9005,-0.790341,9.27897,0.41077,-1.18721,-0.160331
477638,-0.711134,-0.698507,9.45499,0.401839,-1.1091,-0.159139
479083,-0.37198,-1.03583,9.50622,0.427683,-1.0977,-0.158485
480493,-0.284302,-1.084,9.31697,0.426258,-1.0709,-0.160799
481945,-1.75874,-0.812302,9.35748,0.411852,-1.16846,-0.157448
483383,-2.25399,-0.439722,9.4014,0.390636,-1.18873,-0.157261
484807,-2.37933,-0.427992,9.52736,0.38791,-1.20827,-0.15572
486246,-1.54099,-0.997397,9.5841,0.422784,-1.1728,-0.160065
487680,-0.164059,-1.14093,9.79354,0.427696,-1.07554,-0.157916
489110,0.149521,-1.26749,9.82986,0.43433,-1.07752,-0.159362
490531,0.421414,-1.39305,9.46945,0.448409,-1.03217,-0.160015
491978,-1.25274,-0.794431,9.30849,0.410024,-1.14025,-0.155886
493415,-2.08697,-0.342405,9.3768,0.386067,-1.17902,-0.156308
494843,-2.62539,-0.562521,9.45458,0.395648,-1.22108,-0.156731
496277,-1.84784,-1.10435,9.5742,0.429419,-1.19619,-0.160378
497696,-0.223293,-1.29094,9.7046,0.435638,-1.07547,-0.158217
499136,0.059513,-1.23684,9.83706,0.429548,-1.08532,-0.159605
500576,0.484436,-1.386,9.36593,0.44882,-1.02559,-0.162375
501985,-1.30985,-0.626101,9.3445,0.402463,-1.1514,-0.156419
