time,ax,ay,az
2760065,-0.990967,-0.0737305,-0.0795898
2764010,-0.990967,0.0158691,-0.0175781
2767968,-0.97998,0.0158691,-0.0175781
2771972,-0.950684,0.130127,0.13501
2775911,-0.950684,0.161133,0.156982
2779873,-0.946777,0.161133,0.156982
2783811,-0.999023,-0.112793,0.0327148
2787716,-0.999023,0.0649414,0.0722656
2791688,-0.974854,0.0649414,0.0722656
2795587,-0.955566,0.119141,0.221436
2799531,-0.955566,0.0632324,0.218994
2803465,-0.943359,0.125732,0.218994
2807397,-0.982666,-0.00683594,0.0541992
2811343,-0.982666,-0.0583496,0.00073242
2815270,-0.977295,0.0666504,0.00073242
2819176,-0.939941,0.148193,0.124023
2823107,-0.939941,0.148193,0.111328
2827046,-0.957764,0.181641,0.111328
2830988,-0.991943,0.0476074,-0.0466309
2834931,-0.991943,0.0476074,-0.0856934
2838883,-0.980469,0.0925293,-0.0856934
2842830,-0.94165,0.117676,0.0598144
2846761,-0.94165,0.117676,0.111816
2850728,-0.963135,0.17334,0.111816
2854641,-0.965576,0.17749,0.0256348
2858579,-0.965576,0.17749,0.0107422
2862507,-0.974609,0.027832,0.0107422
2866451,-0.954346,0.0927734,0.148926
2870385,-0.954346,0.0927734,0.161621
2874319,-0.940918,0.165771,0.224121
2878260,-0.94751,0.275391,0.123291
2882259,-0.94751,0.275391,0.109375
2886193,-0.978516,0.0236816,0.046875
2890115,-0.946045,0.0522461,0.124512
2894051,-0.946045,0.0522461,0.124512
2897991,-0.918945,0.24292,0.166016
2901955,-0.911377,0.301758,0.064209
2905894,-0.973877,0.301758,0.064209
2909810,-0.962402,0.0354004,-0.0412598
2913747,-0.962402,0.107178,-0.0253906
2917671,-0.959473,0.107178,-0.0253906
2921609,-0.942139,0.252441,0.065918
2925538,-0.942139,0.266602,0.0686035
2929473,-0.955566,0.266602,0.0686035
2933433,-0.965088,0.0654297,-0.0227051
2937374,-0.965088,0.0883789,0.00830078
2941315,-0.956299,0.150879,0.00830078
2945256,-0.947998,0.255615,0.161621
2949203,-0.947998,0.260986,0.194092
2953145,-0.928711,0.260986,0.194092
2957097,-0.951904,0.159424,0.0727539
2961040,-0.951904,0.149902,0.0666504
2964965,-0.959961,0.212402,0.0666504
2968908,-0.940918,0.28418,0.171631
2972845,-0.940918,0.28418,0.21582
2976781,-0.91626,0.23291,0.21582
2980716,-0.951172,0.254639,0.012207
2984668,-0.951172,0.254639,-0.0332031
2988613,-0.973877,0.23584,-0.0332031
2992613,-0.907959,0.256348,0.0895996
2996568,-0.907959,0.256348,0.0866699
3000506,-0.92749,0.286865,0.0866699
3004441,-0.966309,0.289062,-0.0368652
3008392,-0.966309,0.289062,-0.0500488
3012327,-0.946045,0.239014,-0.0500488
3016260,-0.924561,0.251465,0.0805664
3020187,-0.924561,0.251465,0.074707
3024134,-0.930664,0.27417,0.137207
3028071,-0.877441,0.393799,0.0839844
3032015,-0.939941,0.393799,0.0639648
3035968,-0.936768,0.155762,0.0639648
3039908,-0.892578,0.250977,0.142334
3043845,-0.892578,0.250977,0.182129
3047832,-0.942139,0.337646,0.182129
3051738,-0.985596,0.401123,0.150635
3055644,-0.923096,0.401123,0.150635
3059608,-0.912842,0.169922,0.079834
3063538,-0.912842,0.238281,0.0273438
3067471,-0.946777,0.238281,0.0273438
3071410,-0.920654,0.41748,0.0654297
3075341,-0.920654,0.412354,0.0964355
3079281,-0.932373,0.412354,0.0964355
3083203,-0.914062,0.135742,0.00756836
3087133,-0.914062,0.291016,-0.0761719
3091069,-0.94458,0.291016,-0.0761719
3095036,-0.919434,0.421631,0.0554199
3098959,-0.919434,0.396729,0.130859
3102958,-0.916748,0.334229,0.130859
3106915,-0.895752,0.224121,0.048584
3110839,-0.895752,0.236084,0.0117188
3114797,-0.944092,0.298584,0.0117188
3118728,-0.90918,0.362549,0.154053
3122673,-0.90918,0.313965,0.236328
3126633,-0.875,0.313965,0.236328
3130561,-0.923584,0.344727,0.0737305
3134495,-0.923584,0.344727,0.0539551
3138417,-0.925537,0.291016,0.0539551
3142355,-0.878662,0.304932,0.146729
3146296,-0.878662,0.304932,0.13916
3150223,-0.911621,0.36084,0.13916
3154154,-0.928223,0.432861,0.017334
3158119,-0.928223,0.432861,-0.0363769
3162029,-0.912109,0.245605,-0.0363769
3165996,-0.891357,0.297119,0.0246582
3169894,-0.891357,0.297119,0.00512695
3173868,-0.923584,0.40918,0.067627
3177821,-0.898193,0.511719,0.0561523
3181754,-0.898193,0.511719,0.0283203
3185656,-0.884766,0.221924,0.0283203
3189586,-0.876953,0.279541,0.0385742
3193545,-0.876953,0.279541,0.0385742
3197473,-0.902832,0.459717,0.103271
3201393,-0.881836,0.529297,0.217773
3205346,-0.881836,0.529297,0.217773
3209284,-0.851074,0.306885,0.142822
3213281,-0.851074,0.325195,0.0305176
3217212,-0.910156,0.325195,0.0305176
3221141,-0.870605,0.524902,0.101318
3225070,-0.870605,0.507812,0.193115
3229018,-0.890137,0.507812,0.193115
3232943,-0.849609,0.379883,0.102539
3236879,-0.849609,0.370117,-0.0637207
3240818,-0.916504,0.370117,-0.0637207
3244756,-0.869873,0.467773,0.0280762
3248705,-0.869873,0.494385,0.117188
3252662,-0.861328,0.431885,0.117188
3256608,-0.883789,0.42749,0.0241699
3260534,-0.883789,0.41333,-0.0380859
3264511,-0.891357,0.35083,-0.0380859
3268408,-0.903076,0.770752,-0.0249023
3272396,-0.903076,0.775635,0.176514
3276323,-0.498779,0.0256348,0.176514
3280231,-1.3894,1.84985,-0.318359
3284153,-1.3894,1.84985,0.299072
3288090,-0.979004,0.786621,0.299072
3292034,-0.39624,-1.06445,0.442139
3295944,-0.39624,-1.06445,-0.165283
3299902,-0.951904,0.289062,-0.165283
3303819,-0.946533,1.12256,-0.0773926
3307753,-0.946533,1.12256,-0.116943
3311696,-0.910889,0.442139,0.195557
3315627,-0.696533,0.54248,0.429443
3319598,-0.696533,0.54248,0.391602
3323576,-0.921143,0.254639,-0.170898
3327510,-0.912354,0.446533,-0.189697
3331482,-0.849854,0.446533,-0.244629
3335416,-0.833008,0.496582,0.192871
3339336,-0.855469,0.535156,0.183594
3343299,-0.917969,0.535156,0.183594
3347252,-0.754883,0.499023,0.14209
3351165,-0.7854,0.476562,-0.233643
3355121,-0.9729,0.476562,-0.233643
3359059,-0.763916,0.338379,0.065918
3363005,-0.763916,0.52124,0.265137
3366898,-0.787109,0.52124,0.265137
3370842,-0.885254,0.64624,0.118164
3374767,-0.885254,0.611572,0.0834961
3378708,-0.795166,0.611572,0.0834961
3382638,-0.876465,0.387207,-0.0500488
3386593,-0.876465,0.522217,0.176025
3390540,-0.741943,0.522217,0.176025
3394454,-0.818848,0.61499,0.218994
3398393,-0.818848,0.592773,0.0556641
3402337,-0.844482,0.655273,0.0556641
3406277,-0.803955,0.517578,-0.0388184
3410210,-0.803955,0.520264,-0.0200195
3414134,-0.850098,0.457764,-0.0200195
3418073,-0.717285,0.643799,0.217529
3422033,-0.717285,0.643799,0.0788574
3426004,-0.848145,0.575684,0.0788574
3429922,-0.814209,0.638672,-0.0942383
3433970,-0.814209,0.638672,0.0100098
3437852,-0.809326,0.477295,0.0100098
3441805,-0.767334,0.527588,0.178223
3445749,-0.767334,0.527588,0.187012
3449703,-0.773682,0.61499,0.187012
3453633,-0.848633,0.702881,-0.020752
3457576,-0.848633,0.702881,0.0627441
3461510,-0.7854,0.476807,0.0627441
3465434,-0.753662,0.480713,0.200195
3469365,-0.753662,0.480713,0.216064
3473301,-0.778076,0.63916,0.153564
3477234,-0.763428,0.768311,0.0515137
3481161,-0.825928,0.768311,0.0581055
3485102,-0.756592,0.418701,0.0581055
3489043,-0.762695,0.520996,0.0424805
3492969,-0.762695,0.520996,0.0424805
3496949,-0.798584,0.670654,0.0573731
3500861,-0.798096,0.740234,0.0983887
3504816,-0.798096,0.740234,0.0983887
3508730,-0.73291,0.460449,0.0600586
3512668,-0.73291,0.518311,-0.0585938
3516596,-0.802246,0.518311,-0.0585938
3520547,-0.785889,0.70459,0.0371094
3524495,-0.785889,0.684082,0.206055
3528491,-0.753662,0.684082,0.206055
3532467,-0.717285,0.534912,0.12207
3536404,-0.717285,0.566162,-0.0146484
