seq,Fx,Fy,Fz,Mx,My,Mz
211,-0.299268,-0.258225,-4.99627,-0.0120718,0.0325066,-0.00470657
212,-0.303395,-0.256844,-4.99565,-0.0124594,0.0337713,-0.00324341
213,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
214,-0.279058,-0.233177,-4.9792,-0.0108154,0.0337962,-0.00670626
215,-0.287138,-0.229865,-4.97392,-0.0110377,0.0332124,-0.0056408
216,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
217,-0.307343,-0.254911,-4.99104,-0.0122981,0.0319227,-0.00363954
218,-0.303211,-0.254245,-4.99238,-0.0119542,0.0334441,-0.0051294
219,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
220,-0.305027,-0.24609,-4.98875,-0.0133222,0.0343032,-0.00374285
221,-0.272766,-0.230373,-4.98003,-0.0119141,0.0324446,-0.00636208
222,-0.305027,-0.24609,-4.98875,-0.0133222,0.0343032,-0.00374285
223,-0.280181,-0.23435,-4.97626,-0.00981936,0.0328829,-0.00597492
224,-0.303211,-0.254245,-4.99238,-0.0119542,0.0334441,-0.0051294
225,-0.307342,-0.252865,-4.99175,-0.0123418,0.0347097,-0.00366629
226,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
227,-0.279058,-0.233177,-4.9792,-0.0108154,0.0337962,-0.00670626
228,-0.279058,-0.233177,-4.9792,-0.0108154,0.0337962,-0.00670626
229,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
230,-0.302289,-0.247763,-4.99193,-0.0112545,0.033966,-0.00475086
231,-0.30431,-0.263318,-4.99608,-0.0131588,0.0332498,-0.00362216
232,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
233,-0.282078,-0.224737,-4.97408,-0.00995033,0.0324647,-0.00672554
234,-0.291898,-0.244277,-4.99417,-0.0120134,0.0341392,-0.00589124
235,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
236,-0.298043,-0.250553,-4.99103,-0.0121034,0.0339722,-0.0040785
237,-0.303211,-0.254245,-4.99238,-0.0119542,0.0334441,-0.0051294
238,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
239,-0.279058,-0.233177,-4.9792,-0.0108154,0.0337962,-0.00670626
240,-0.279058,-0.233177,-4.9792,-0.0108154,0.0337962,-0.00670626
241,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
